Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
21st Century Music,15343219,,Cambridge University Press
"3L: Language, Linguistics, Literature",01285157 ,,Penerbit Universiti Kebangsaan Malaysia
4OR,16194500,16142411,Springer
A + U-Architecture and Urbanism,03899160 ,,"Japan Architects Co., Ltd."
A Contrario. Revue interdisciplinaire de sciences sociales,16607880 ,,Editions Antipodes
A.M.A. American Journal of Diseases of Children,00968994 ,,American Medical Association
A.M.A. archives of dermatology,00965359 ,,American Medical Association
A.M.A. Archives of Dermatology and Syphilology,00965979 ,,American Medical Association
A.M.A. archives of industrial health,05673933 ,,American Medical Association
A.M.A. Archives of Industrial Hygiene and Occupational Medicine,00966703 ,,American Medical Association
A.M.A. archives of internal medicine,08882479 ,,American Medical Association
A.M.A. archives of neurology,03758540 ,,American Medical Association
A.M.A. archives of neurology and psychiatry,00966886 ,,American Medical Association
A.M.A. archives of ophthalmology,00966339 ,,American Medical Association
A.M.A. archives of otolaryngology,00966894 ,,American Medical Association
A.M.A. archives of pathology,00966711 ,,American Medical Association
A.M.A. archives of surgery,00966908 ,,American Medical Association
A|Z ITU Journal of Faculty of Architecture,13028324,,Orhan Hacihasanoglu ITU Faculty of Architecture
"AAA, Arbeiten aus Anglistik und Amerikanistik",01715410,,Gunter Narr Verlag
AAC: Augmentative and Alternative Communication,07434618,14773848,Taylor & Francis
AACL Bioflux,18448143 ,18449166 ,Bioflux Publishing House
AACN Advanced Critical Care,15597768,,Wolters Kluwer Health
AACN clinical issues,10790713,15389812,Wolters Kluwer Health
AACN clinical issues in critical care nursing,10467467,,Springer
AANA Journal,00946354,,AANA Publishing Inc.
AANNT journal / the American Association of Nephrology Nurses and Technicians,07441479,,American Association of Nephrology Nurses and Technicians
AAO Journal,,,American Academy Of Osteopathy
AAOHN Journal,08910162,,"Slack, Inc."
AAPG Bulletin,01491423,,American Association of Petroleum Geologists
AAPG Memoir,02718529,,American Association of Petroleum Geologists
AAPPO journal : the journal of the American Association of Preferred Provider Organizations,10545913,,"Health Communications, Inc."
AAPS Journal,15507416,,Springer
AAPS PharmSci,15221059,,American Association of Pharmaceutical Scientists
AAPS PharmSciTech,15309932,15221059,American Association of Pharmaceutical Scientists
Aardkundige Mededelingen,02507803,,Leuven University Press
AARN news letter,00010197,,Alberta Association of Registered Nurses
AAS History Series,07303564,,"Univelt, Inc."
AATCC Review,15328813,,American Association of Textile Chemists and Colorists
AB bookman's weekly : for the specialist book world,00010340,,Sol M. Malkin
ABA Bank Marketing,15397890,,American Bankers Association
ABA Journal,07470088,,American Bar Association
Abacus,00013072,,Wiley-Blackwell
ABB Review,10133119,,A B B Corporate Management Services AG
Abbey Newsletter,02768291,,"Abbey Publications, Inc."
Abdominal Imaging,09428925,14320509,Springer
Aberdeen's Concrete Construction,10515526,,Aberdeen Group
Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,00255858,,Vandenhoeck and Ruprecht
Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,03657000 ,,E. Schweizerbart'sche Verlagsbuchhandlung
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,0174870X,,Matthiesen Verlag
Abrasive Engineering,00013277,,Hitchcock Publishing Company
Abrasives,00965995,,"Penton/IPC, Inc."
Abstract and Applied Analysis,10853375,16870409,Hindawi
Abstracta Botanica,01336215,,Akademiai Kiado
Abstracts of Health Care Management Studies,01944908,,Health Administration Press
Abstracts of Hospital Management Studies,00013595,,"Cooperative Information Center for Hospital Management Studies, Univ. of Michigan"
Abstracts of UK Patent Applications,,,
ABU Technical Review,01266209,,Asia-Pacific Broadcasting Union
Academe,01902946,,American Association of University Professors
Academia,10128255 ,,Universidad de los Andes 1
Academia Peruana de Cirugia,00013854 ,,Academia Peruana de Cirugia
Academic Emergency Medicine,10696563,,Elsevier
Academic Journal of Cancer Research,19958943,,International Digital Organization for Scientific Information (IDOSI)
Academic Journal of Manufacturing Engineering,15837904 ,,Editura Politehnica
Academic Journal of Second Military Medical University,0258879X,,Ti Erh Chun I Ta Hsueh Hsun Lien Pu
Academic Journal of Xi'an Jiaotong University,16718267,,Xinan Jiaotong Daxue
Academic Leadership,15337812,,AcademicLeadership.org
Academic Medicine,10402446,,Wolters Kluwer Health
Academic Pediatrics,18762859 ,18762867 ,Academic Pediatric Association
Academic Psychiatry,10429670,15457230,"American Psychiatric Publishing, Inc."
Academic Questions,08954852 ,,Transaction Periodicals Consortium
Academic Radiology,10766332,,Association of University Radiologists
Academy of Accounting and Financial Studies Journal,10963685 ,,"The DreamCatchers Group, LLC"
Academy of Banking Studies Journal,19392230,,"The DreamCatchers Group, LLC"
Academy of Entrepreneurship Journal,10879595,,Allied Academies
Academy of Management Annals,19416520 ,19416067 ,Taylor & Francis
Academy of Management Executive,10795545,,Academy of Management
Academy of Management Journal,00014273,,Academy of Management
Academy of Management Learning and Education,1537260X,,Academy of Management
Academy of Management Perspectives,15589080,,Academy of Management
Academy of Management Review,03637425,,Academy of Management
Academy of Marketing Studies Journal,10956298,,Allied Academies
Academy of Strategic Management Journal,15441458,,Allied Academies
Acadiensis,00445851 ,,University of New Brunswick
Acarina,01328077 ,22215115 ,KMK Scientific Press Ltd.
Acarologia,0044586X,,Universite de Montpellier III
ACC Cardiosource Review Journal,15568571,,Elsevier
ACC Current Journal Review,10621458,,Elsevier
Accident Analysis and Prevention,00014575,,Elsevier
Accident and Emergency Nursing,09652302,,Elsevier
Accountability in Research,08989621,,Taylor & Francis
Accounting and Business Research,00014788,,Institute of Chartered Accountants in England an Wales
Accounting and Finance,08105391,,Accounting Association of Australia and New Zealand
Accounting and the Public Interest,15309320 ,,American Accounting Association
Accounting Education,09639284 ,14684489 ,Taylor & Francis
Accounting Forum,01559982,,School of Accountancy
Accounting History,10323732,17493374,SAGE
Accounting History Review,21552851 ,2155286X ,Taylor & Francis
Accounting Horizons,08887993,15587975,American Accounting Association
Accounting in Europe,17449480 ,17449499 ,Taylor & Francis
Accounting Perspectives,1911382X ,,Canadian Academic Accounting Association/Association Canadienne des Professeursde Comptabilite
Accounting Research Journal,10309616 ,,Emerald
Accounting Review,00014826,,American Accounting Association
"Accounting, Auditing and Accountability Journal",09513574,,Emerald
"Accounting, Business and Financial History",09585206,14664275,Taylor & Francis
"Accounting, Management and Information Technologies",09598022 ,18737595 ,Elsevier
"Accounting, Organizations and Society",03613682,,Elsevier
Accounts of Chemical Research,00014842,15204898,ACS
Accreditation and Quality Assurance,09491775,14320517,Springer
ACDI Anuario Colombiano de Derecho Internacional,20271131 ,,"Asociacion Cavelier Del Derecho, Universidad del Rosario"
ACH - Models in Chemistry,12178969,,Akademiai Kiado
ACI Materials Journal,0889325X,,American Concrete Institute
ACI Structural Journal,08893241,,American Concrete Institute
ACIMED,10249435,15612880,Centro Nacional De Informacion De Ciencias Medicas
ACM Communications in Computer Algebra,19322232 ,,Association for Computing Machinery (ACM)
ACM Computing Surveys,03600300,,"Association for Computing Machinary, Inc."
ACM Journal on Educational Resources in Computing,15314278,,"Association for Computing Machinary, Inc."
ACM Journal on Emerging Technologies in Computing Systems,15504832,,"Association for Computing Machinary, Inc."
ACM SIGPLAN Notices,15232867,,"Association for Computing Machinary, Inc."
ACM Transactions on Accessible Computing,19367228 ,,"Association for Computing Machinary, Inc."
ACM Transactions on Algorithms,15496325,,"Association for Computing Machinary, Inc."
ACM Transactions on Applied Perception,15443558 ,15443965 ,"Association for Computing Machinary, Inc."
ACM Transactions on Asian Language Information Processing,15300226,,"Association for Computing Machinary, Inc."
ACM Transactions on Autonomous and Adaptive Systems,15564665,,"Association for Computing Machinary, Inc."
ACM Transactions on Computation Theory,19423454,,"Association for Computing Machinary, Inc."
ACM Transactions on Computational Logic,15293785,,"Association for Computing Machinary, Inc."
ACM Transactions on Computer Systems,07342071,,"Association for Computing Machinary, Inc."
ACM Transactions on Computer-Human Interaction,10730516,,"Association for Computing Machinary, Inc."
ACM Transactions on Computing Education,,19466226 ,Association for Computing Machinery (ACM)
ACM Transactions on Database Systems,03625915,,"Association for Computing Machinary, Inc."
ACM Transactions on Design Automation of Electronic Systems,10844309,,"Association for Computing Machinary, Inc."
ACM Transactions on Graphics,07300301,,"Association for Computing Machinary, Inc."
ACM Transactions on Information and System Security,10949224,,"Association for Computing Machinary, Inc."
ACM Transactions on Information Systems,10468188,,"Association for Computing Machinary, Inc."
ACM Transactions on Intelligent Systems and Technology,21576904 ,21576912 ,Association for Computing Machinery (ACM)
ACM Transactions on Internet Technology,15335399,,"Association for Computing Machinary, Inc."
ACM Transactions on Knowledge Discovery from Data,15564681,,"Special Interest Group on Computer Graphics, Association for Computing Machinery"
ACM Transactions on Management Information Systems,2158656X ,,Association for Computing Machinery (ACM)
ACM Transactions on Mathematical Software,00983500,,"Association for Computing Machinary, Inc."
ACM Transactions on Modeling and Computer Simulation,10493301,,"Association for Computing Machinary, Inc."
"ACM Transactions on Multimedia Computing, Communications and Applications",15516857,,"Association for Computing Machinary, Inc."
ACM Transactions on Office Information Systems,07342047,,"Association for Computing Machinary, Inc."
ACM Transactions on Programming Languages and Systems,01640925,,"Association for Computing Machinary, Inc."
ACM Transactions on Reconfigurable Technology and Systems,19367406 ,19367414 ,Association for Computing Machinery (ACM)
ACM Transactions on Sensor Networks,15504859,,"Association for Computing Machinary, Inc."
ACM Transactions on Software Engineering and Methodology,1049331X,,"Association for Computing Machinary, Inc."
ACM Transactions on Speech and Language Processing,15504875 ,,"Association for Computing Machinary, Inc."
ACM Transactions on Storage,15533077,,"Association for Computing Machinary, Inc."
ACM Transactions on the Web,15591131,,"Association for Computing Machinary, Inc."
ACME,14929732,,Okanagan University College
ACOG Clinical Review,10856862,,American College of Obstetricians and Gynecologists
ACOG committee opinion,1074861X ,,American College of Obstetricians and Gynecologists
ACOG Current Journal Review,08971471 ,,Elsevier
ACORN,14487535,,
Acoustic Research Letters Online,15297853,,Acoustical Society of America
Acoustical Physics,10637710,15626865,Maik Nauka/Interperiodica Publishing
Acoustical Science and Technology,13463969,13475177,Acoustical Society of Japan
Acoustics Australia,08146039,,Australian Acoustical Society
Acoustics Bulletin,0308437X,,Institute of Acoustics
Acoustics Letters,01401599,,Parjon Information Services
ACP journal club,10568751,,American College of Physicians
Acquisitions Librarian,08963576,1544435X,Haworth Press
Across Languages and Cultures,15851923,15882519,Akademiai Kiado
ACS applied materials & interfaces,19448244 ,19448252 ,ACS
ACS Catalysis,21555435 ,,ACS
ACS chemical biology,15548929,15548937,ACS
ACS Chemical Neuroscience,19487193,,ACS
ACS Combinatorial Science,21568952 ,21568944 ,ACS
ACS Macro Letters,21611653 ,,ACS
ACS Medicinal Chemistry Letters,19485875,,ACS
ACS Nano,19360851,1936086X,ACS
ACS Sustainable Chemistry and Engineering,21680485 ,,ACS
ACS Symposium Series,00976156,,ACS
ACS Synthetic Biology,21615063 ,,ACS
ACSM Bulletin,07479417,,American Congress on Surveying and Mapping
ACSM's Health and Fitness Journal,10915397,,Wolters Kluwer Health
Acta - Unio Internationalis Contra Cancrum,03653056 ,,International Union against Cancer
Acta Academiae Medicinae Hubei,1000243X,,China International Book Trading Corp./Zhongguo Guoji Tushu Maoyi Zonggongsi
Acta Academiae Medicinae Primae Shanghai,02533650,,Shang-hai ti 1 i hsueh yuan
Acta Academiae Medicinae Sichuan,02534290,,Sichuan Medical College
Acta Academiae Medicinae Wuhan,02533316,,Wuhan Medical College
Acta Academica,05872405 ,,Sun Media Corporation
Acta Acustica united with Acustica,16101928,,Hirzel Verlag
Acta Adriatica,00015113,,Institut za Oceanografiju i Ribarsstvo/Institute of Oceanography and Fisheries
Acta Agriculturae Scandinavica - Section A: Animal Science,09064702,16511972,Taylor & Francis
Acta Agriculturae Scandinavica - Section B Soil and Plant Science,09064710,16511913,Taylor & Francis
Acta Agriculturae Slovenica,15819175 ,,Biotehniske Fakultete Univerze v Ljubljani
Acta Agronomica,00445959 01202812 ,,Universidad Nacional De Colombia
Acta Agronomica Hungarica,02380161,,Akademiai Kiado
Acta Agronomica Sinica,18752780 ,,Elsevier
Acta Alimentaria,01393006,,Akademiai Kiado
Acta Allergologica,00015148,,Wiley-Blackwell
Acta allergologica. Supplementum,0065096X ,,Wiley-Blackwell
Acta Amazonica,00445967,,Instituto Nacional de Pesquisas da Amazonica
Acta anaesthesiologica,00015156,,Editrice La Garangola
Acta Anaesthesiologica Belgica,00015164,,Acta Medica Belgica
Acta Anaesthesiologica Italica,03744965,,Edtrice la Garangola
Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy,11248882,,Editrice La Garangola
Acta Anaesthesiologica Scandinavica,00015172,13996576,Wiley-Blackwell
"Acta Anaesthesiologica Scandinavica, Supplement",05152720,,Wiley-Blackwell
Acta Anaesthesiologica Sinica,05295769,,Taiwan Society of Anesthesiologists
Acta Anaesthesiologica Taiwanica,02541319,,Zhonghua Minguo ma zui yi xue hui
Acta Analytica,03535150 ,,Slovensko Filozofsko Drustvo
Acta Anatomica,00015180,,Karger
Acta Anatomica Sinica,05291356,,Chung-Kuo Chieh Pou Hsueh Hui
Acta Angiologica,1234950X,16443276,Via Medica
Acta Antiqua Academiae Scientiarum Hungaricae,00445975 ,15882543 ,Akademiai Kiado
Acta Applicandae Mathematicae,01678019,15729036,Springer
Acta Arachnologica,00015202,,Arachnological Society of Japan
Acta Archaeologica,0065101X ,16000390 ,Wiley-Blackwell
Acta Archaeologica Academiae Scientiarum Hungaricae,00015210 ,15882551 ,Akademiai Kiado
Acta Arithmetica,00651036,,Polska Akademia Nauk
Acta Astronautica,00945765,,Elsevier
Acta Astronomica,00015237,,Copernicus Foundation for Polish Astronomy
Acta Baltico-Slavica,00651044,,Bialostockie Towarzystwo Naukowe
Acta Belgica de Arte Medicinali et Pharmaceutica Militari,04003977 ,,Societe Scientifique du Service Medical Militaire
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae,07760353,,Centre pour la conservation et l'etude du patrimoine medicale
Acta Belgica Medica Physica,07715684,,Acta Medica Belgica
Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae,00015253,,Akademiai Kiado
Acta Biochimica et Biophysica Hungarica,02376261,,Akademiai Kiado
Acta Biochimica et Biophysica Sinica,05829879,,Shanghai Kexue Jishu Chubanshe/Shanghai Scientific & Technical Publishers
Acta Biochimica et Biophysica Sinica,16729145,17457270,Institute of Biochemistry and Cell Biology
Acta Biochimica Polonica,0001527X,,Polskie Towarzystwo Biochemiczne
Acta Bioethica,07175906,1726569X,"OPS/OMS, Unidad de Bioetica"
Acta Biologiae Experimentalis,03650820,,Polish Scientific Publishers PWN
Acta Biologica Academiae Scientiarum Hungaricae,00015288,,Akademiai Kiado
Acta Biologica Benrodis,01779214,,Naturkundliches Heimatmuseum Benrath
Acta Biologica Colombiana,0120548X,,Universidad Nacional de Colombia
Acta Biologica Cracoviensia Series Botanica,00015296,,Polska Akademia Nauk
Acta Biologica Cracoviensia Series Zoologia,0001530X,,Zaklad Narodowy imienia Ossolinskich
Acta Biologica et Medica Germanica,00015318,,Akademie Verlag
Acta Biologica Hungarica,02365383,,Akademiai Kiado
Acta Biologica Szegediensis,1588385X,15884082,Szegedi Tudomanyegyetern/University of Szeged
Acta Biomaterialia,17427061,,Elsevier
Acta Biomedica de l'Ateneo Parmense,03924203,,Mattioli 1885 SpA
Acta Bioquimica Clinica Latinoamericana,03252957,,Federacion Bioquimica de la Provincia de Buenos Aires
Acta Biotechnologica,01384988,,Wiley-Blackwell
Acta Biotheoretica,00015342,15728358,Springer
Acta Borealia,08003831,1503111X,Taylor & Francis
